gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_05294:5p	631	4154	0	0.174	0.848	631	728	631	728
UMAG_05299:3p	1093	6508	0	0.199	0.832	1093	1303	1093	1303
UMAG_05299:5p	1365	8209	0	0.197	0.834	1365	1626	1365	1626
UMAG_05300:3p	1548	7057	0	0.283	0.781	1548	1994	1548	1994
UMAG_05300:5p	1282	7457	0	0.206	0.828	1282	1539	1282	1539
UMAG_05301:3p	615	3492	0	0.211	0.824	615	739	615	739
UMAG_05301:5p	945	6274	0	0.173	0.849	945	1096	945	1096
UMAG_05302:3p	1562	10781	0	0.167	0.855	1562	1808	1562	1808
UMAG_05302:5p	898	6740	0	0.149	0.867	898	1014	898	1014
UMAG_05308:3p	1479	10583	0	0.159	0.86	1479	1699	1479	1699
UMAG_05308:5p	1665	9879	0	0.201	0.831	1665	1992	1665	1992
UMAG_05310:3p	372	2101	0	0.211	0.823	372	445	372	445
UMAG_05310:5p	438	2532	0	0.205	0.827	438	521	438	521
UMAG_05319:3p	1820	8504	0	0.274	0.786	1820	2324	1820	2324
UMAG_05319:5p	1374	10030	0	0.155	0.863	1374	1571	1374	1571
UMAG_05439:3p	6315	52168	0	0.137	0.879	6315	7158	6315	7158
UMAG_05439:5p	20726	80018	0	0.35	0.741	20726	28001	20726	28001
UMAG_05548:3p	1883	7762	0	0.324	0.757	1883	2509	1883	2509
UMAG_05548:5p	664	4215	0	0.182	0.842	664	774	664	774
UMAG_05562:3p	4540	23272	0	0.242	0.805	4540	5640	4540	5640
UMAG_05562:5p	7200	36008	0	0.25	0.8	7200	9001	7200	9001
UMAG_05641:3p	14526	104129	0	0.162	0.86	14526	16859	14526	16859
UMAG_05641:5p	18514	89874	0	0.26	0.794	18514	23320	18514	23320
UMAG_05733:3p	1295	6609	0	0.244	0.804	1295	1611	1295	1611
UMAG_05733:5p	859	5960	0	0.164	0.856	859	985	859	985
UMAG_05780:3p	1604	8805	0	0.222	0.818	1604	1956	1604	1956
UMAG_05780:5p	1971	10441	0	0.232	0.811	1971	2427	1971	2427
UMAG_05781:3p	4612	27137	0	0.204	0.83	4612	5546	4612	5546
UMAG_05781:5p	8474	44231	0	0.237	0.808	8474	10480	8474	10480
UMAG_05819:3p	1114	5644	0	0.246	0.803	1114	1389	1114	1389
UMAG_05819:5p	738	5112	0	0.163	0.856	738	844	738	844
UMAG_05861:3p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_05861:5p	5	25.7	0	0.242	0.805	5	5	5	5
UMAG_05926:3p	1213	6006	0	0.254	0.798	1213	1523	1213	1523
UMAG_05926:5p	937	6420	0	0.167	0.854	937	1079	937	1079
UMAG_05927:3p	9895	41249	0	0.316	0.76	9895	13038	9895	13038
UMAG_05927:5p	7275	48319	0	0.177	0.849	7275	8547	7275	8547
UMAG_05931:3p	6271	30617	0	0.258	0.795	6271	7890	6271	7890
UMAG_05931:5p	6688	38873	0	0.207	0.828	6688	8068	6688	8068
UMAG_05953:3p	1083	5130	0	0.27	0.789	1083	1380	1083	1380
UMAG_05953:5p	100	558	0	0.21	0.821	100	111	100	111
UMAG_05988:3p	1516	7582	0	0.25	0.8	1516	1897	1516	1897
UMAG_05988:5p	1277	6213	0	0.26	0.794	1277	1612	1277	1612
UMAG_06064:3p	1913	17972	0	0.115	0.894	1913	2097	1913	2097
UMAG_06064:5p	3244	22189	0	0.17	0.854	3244	3781	3244	3781
UMAG_06113:3p	1684	8693	0	0.24	0.806	1684	2088	1684	2088
UMAG_06113:5p	1003	6029	0	0.197	0.834	1003	1192	1003	1192
UMAG_06146:3p	514	3839	0	0.147	0.866	514	572	514	572
UMAG_06146:5p	928	5249	0	0.213	0.823	928	1120	928	1120
UMAG_06158:3p	1015	5125	0	0.247	0.802	1015	1267	1015	1267
UMAG_06158:5p	1234	6258	0	0.246	0.803	1234	1538	1234	1538
UMAG_06178:3p	6583	25342	0	0.353	0.74	6583	8925	6583	8925
UMAG_06178:5p	3638	22844	0	0.188	0.841	3638	4313	3638	4313
UMAG_06179:3p	4292	23362	0	0.225	0.816	4292	5253	4292	5253
UMAG_06179:5p	1550	13733	0	0.123	0.887	1550	1719	1550	1719
UMAG_06222:3p	662	4672	0	0.159	0.858	662	752	662	752
UMAG_06222:5p	940	5227	0	0.218	0.82	940	1140	940	1140
UMAG_06223:3p	5127	21781	0	0.309	0.765	5127	6724	5127	6724
UMAG_06223:5p	3879	27562	0	0.162	0.859	3879	4494	3879	4494
UMAG_06428:3p	5255	27677	0	0.234	0.81	5255	6484	5255	6484
UMAG_06428:5p	9245	48285	0	0.237	0.809	9245	11432	9245	11432
UMAG_06440:3p	10118	63388	0	0.19	0.84	10118	12025	10118	12025
UMAG_06440:5p	13864	78095	0	0.216	0.822	13864	16848	13864	16848
UMAG_10024:3p	13114	66516	0	0.246	0.803	13114	16334	13114	16334
UMAG_10024:5p	13042	61037	0	0.272	0.786	13042	16593	13042	16593
UMAG_10030:3p	1068	6007	0	0.215	0.822	1068	1292	1068	1292
UMAG_10030:5p	731	4763	0	0.177	0.847	731	848	731	848
UMAG_10067:3p	2067	10207	0	0.254	0.797	2067	2595	2067	2595
UMAG_10067:5p	1737	8859	0	0.244	0.804	1737	2161	1737	2161
UMAG_10076:3p	1412	6665	0	0.27	0.788	1412	1799	1412	1799
UMAG_10076:5p	1276	6503	0	0.244	0.804	1276	1588	1276	1588
UMAG_10403:3p	2538	10135	0	0.338	0.75	2538	3413	2538	3413
UMAG_10403:5p	960	6241	0	0.178	0.846	960	1119	960	1119
UMAG_10553:3p	1471	7851	0	0.23	0.813	1471	1807	1471	1807
UMAG_10553:5p	876	5442	0	0.188	0.839	876	1031	876	1031
UMAG_10555:3p	7039	42549	0	0.198	0.835	7039	8422	7039	8422
UMAG_10555:5p	9177	52936	0	0.209	0.827	9177	11092	9177	11092
UMAG_10557:3p	927	6360	0	0.166	0.854	927	1067	927	1067
UMAG_10557:5p	706	5386	0	0.145	0.869	706	790	706	790
UMAG_10640:3p	9193	32575	0	0.395	0.718	9193	12853	9193	12853
UMAG_10640:5p	6926	38191	0	0.221	0.819	6926	8454	6926	8454
UMAG_10742:3p	397	2769	0	0.159	0.857	397	445	397	445
UMAG_10742:5p	538	2923	0	0.224	0.816	538	655	538	655
