"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_02533"	FALSE	41	0.805	105.128205128205	57	0.924	375	-0.978773678355366	0.0049747820798802	0.996098443996322	0.0156705635516226	1
"UMAG_02535"	FALSE	13485	0.852	45557.4324324324	36025	0.9145	210672.514619883	-1.35327662807224	1.28782748633817e-09	0.999999998715405	1.52124621823696e-08	1
"UMAG_02537"	FALSE	2979	0.8525	10098.3050847458	3002	0.916	17869.0476190476	0.0326175566557155	0.583839945865518	0.417120196567523	0.693998426217503	1
"UMAG_02538"	FALSE	2923	0.8115	7753.31564986737	2647	0.932	19463.2352941177	-0.471899106210354	0.0135130915573566	0.986564162847012	0.0345131662748703	1
"UMAG_02560"	FALSE	9	0.805	23.0769230769231	447	0.9265	3040.81632653062	-6.18589685715694	1.21969432758459e-47	1	2.30522227913488e-45	1
"UMAG_02611"	FALSE	3156	0.8165	8599.45504087194	2487	0.9395	20553.7190082645	-0.401115186274749	0.0295880646032418	0.970553209037001	0.0673752314459362	1
"UMAG_02813"	FALSE	2286	0.841	7188.67924528302	2121	0.926	14331.0810810811	-0.139381675474166	0.260829245672379	0.740165341296388	0.359830127241458	1
"UMAG_02826"	FALSE	1943	0.8395	6052.95950155763	1643	0.9195	10204.9689440994	0.102407943124901	0.713537323574797	0.287753235143622	0.817324570640222	1
"UMAG_02851"	FALSE	22101	0.8115	58623.3421750663	19907	0.922	127608.974358974	-0.266215536652791	0.100673068226999	0.899382420156707	0.181211522808598	1
"UMAG_02852"	FALSE	31	0.805	79.4871794871795	44	0.924	289.473684210526	-1.00867097705913	0.00810689054498572	0.993846106052237	0.0233155618221548	1
"UMAG_02853"	FALSE	9	0.805	23.0769230769231	40	0.9185	245.398773006135	-2.55463812146627	1.47979064094925e-06	0.999999416471513	1.0756939659208e-05	1
"UMAG_02854"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_02925"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_03023"	FALSE	24805	0.841	78003.144654088	28053	0.923	182162.337662338	-0.367653387379777	0.0390052864635455	0.961017864657847	0.0837727175182967	1
"UMAG_03046"	FALSE	1904	0.797	4689.65517241379	1413	0.9265	9612.2448979592	-0.179424427877492	0.204184373002185	0.796839014603916	0.295247838516693	1
"UMAG_03065"	FALSE	22009	0.756	45100.4098360656	16416	0.9165	98299.4011976049	-0.268074953161838	0.0991725243170611	0.90088254884413	0.180226991306967	1
"UMAG_03105"	FALSE	748	0.8185	2060.60606060606	1257	0.9295	8914.89361702128	-1.25718172863251	4.13969552413917e-08	0.99999996022152	4.11790765295949e-07	1
"UMAG_03112"	FALSE	11208	0.826	32206.8965517241	8902	0.9455	81669.7247706422	-0.486464584595936	0.0105042433779405	0.989512144543	0.0287724927308805	1
"UMAG_03138"	FALSE	2543	0.818	6986.26373626373	2128	0.9225	13729.0322580645	-0.118669792238227	0.294353506960391	0.706600791172282	0.394558956138396	1
"UMAG_03201"	FALSE	2838	0.8195	7861.49584487535	2713	0.92	16956.25	-0.252974258723806	0.116545112516651	0.883928015300975	0.203267308376231	1
"UMAG_03202"	TRUE	3263	0.811	8632.27513227513	3183	0.9075	17205.4054054054	-0.1390820017515	0.259438680758817	0.741261672551942	0.359830127241458	1
"UMAG_03223"	FALSE	9055	0.8285	26399.416909621	15436	0.92	96475	-1.01368194249186	2.13132838869769e-06	0.999997875345423	1.49192987208838e-05	1
"UMAG_03313"	FALSE	45	0.805	115.384615384615	405	0.9325	3000	-3.84447258664377	4.3411037590397e-31	1	2.73489536819501e-29	1
"UMAG_03382"	FALSE	24277	0.8405	76103.4482758621	20801	0.9335	156398.496240601	-0.183225780436509	0.191063892140971	0.809015589664269	0.286194606864066	1
"UMAG_03397"	FALSE	15010	0.8625	54581.8181818182	15303	0.916	91089.2857142858	0.117106216254007	0.743006281422249	0.257156668506491	0.820216847990668	1
"UMAG_03564"	FALSE	1781	0.8435	5690.09584664537	1592	0.9345	12152.6717557252	-0.23878153333988	0.133484165708163	0.867336907117383	0.220157410598313	1
"UMAG_03586"	FALSE	3415	0.8185	9407.71349862259	2934	0.938	23661.2903225806	-0.474645588607494	0.0129249134098045	0.987138838623973	0.033463131978809	1
"UMAG_03615"	FALSE	2197	0.826	6313.2183908046	1448	0.926	9783.78378378379	0.22395026861761	0.883187508788489	0.117489859615353	0.934313029340953	1
"UMAG_03650"	FALSE	4394	0.833	13155.6886227545	3227	0.9245	21370.8609271523	0.156008870284676	0.80230165005216	0.198177645831042	0.876502958727504	1
"UMAG_03689"	FALSE	4206	0.808	10953.125	1637	0.933	12216.4179104478	0.698488349491559	0.999941038905715	5.94525425597903e-05	0.999941038905715	0.0112365305438004
"UMAG_03744"	FALSE	7347	0.825	20991.4285714286	11093	0.91	61627.7777777778	-0.697813286164628	0.000569918103131713	0.999431802371322	0.00250498887190451	1
"UMAG_03745"	FALSE	1	0.805	2.56410256410256	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_03747"	FALSE	2871	0.825	8202.85714285714	3099	0.935	23838.4615384616	-0.683125591685592	0.000804052376017496	0.99920193408459	0.00330360650146319	1
"UMAG_03748"	FALSE	3925	0.825	11214.2857142857	4342	0.9335	32646.6165413534	-0.685628616782615	0.000737332313771251	0.999266731199519	0.00309679571783925	1
"UMAG_03750"	FALSE	2059	0.736	3899.62121212121	1722	0.91	9566.66666666667	-0.438715204296052	0.0206063085097325	0.979550669667929	0.0505791208875252	1
"UMAG_03751"	FALSE	3677	0.827	10627.1676300578	2764	0.9305	19884.892086331	-0.0479484626008644	0.422963517310183	0.577803212140246	0.532934031810831	1
"UMAG_03753"	FALSE	2651	0.85	8836.66666666667	2020	0.9365	15905.5118110236	0.00801450500170174	0.53474671066831	0.466340301563445	0.639665369090573	1
"UMAG_03880"	FALSE	2079	0.844	6663.46153846154	2102	0.9355	16294.5736434109	-0.434080743045485	0.0213638762200384	0.978797042118563	0.0511110456403451	1
"UMAG_04027"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_04033"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_04035"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_04038"	FALSE	17699	0.8335	53150.1501501502	24569	0.9255	164892.617449664	-0.777414004058745	0.000153005158507073	0.999847202201965	0.000803277082162132	1
"UMAG_04039"	FALSE	13510	0.8325	40328.3582089552	15782	0.918	96231.7073170732	-0.398750519413461	0.0283637025852502	0.971668712001908	0.0653748754708816	1
