gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_11094:3p	20457	236339	0	0.0947	0.913	20457	22399	20457	22399
UMAG_11094:5p	8986	162103	0.354	0.0582	0.945	8986	9358	8986	9358
UMAG_11193:3p	49	646	0	0.0821	0.924	49	49	49	49
UMAG_11193:5p	71	936	0	0.0821	0.924	71	71	71	71
UMAG_11250:3p	12656	102954	0.333	0.135	0.877	12656	13969	12656	13969
UMAG_11250:5p	65032	394495	0	0.197	0.835	65032	77918	65032	77918
UMAG_11305:3p	2561	37182	0.38	0.0731	0.931	2561	2692	2561	2692
UMAG_11305:5p	11249	155278	0.0563	0.0777	0.928	11249	12061	11249	12061
UMAG_11362:3p	10999	141611	0	0.0842	0.922	10999	11925	10999	11925
UMAG_11362:5p	9057	128727	0.153	0.075	0.93	9057	9638	9057	9638
UMAG_11377:3p	1137	17779	0.0725	0.0691	0.936	1137	1202	1137	1202
UMAG_11377:5p	978	15397	0	0.0689	0.936	978	1038	978	1038
UMAG_11402:3p	121	1583	0.709	0.082	0.924	121	126	121	126
UMAG_11402:5p	99	1200	0.665	0.0877	0.918	99	105	99	105
UMAG_11403:3p	16802	205673	0	0.0889	0.918	16802	18298	16802	18298
UMAG_11403:5p	18854	197194	0	0.106	0.904	18854	20856	18854	20856
UMAG_11415:3p	31773	291117	0	0.122	0.891	31773	35681	31773	35681
UMAG_11415:5p	15985	209360	0.332	0.081	0.924	15985	16952	15985	16952
UMAG_11416:3p	594	10040	0	0.065	0.941	594	623	594	623
UMAG_11416:5p	521	7791	0.913	0.0719	0.933	521	537	521	537
UMAG_11417:3p	848	9885	0.945	0.0901	0.914	848	889	848	889
UMAG_11417:5p	584	10398	0	0.062	0.944	584	609	584	609
UMAG_11444:3p	632	8965	0.927	0.0752	0.93	632	654	632	654
UMAG_11444:5p	908	9943	0.948	0.0957	0.909	908	956	908	956
